,vessel,datet,lat,lon,depth,depth_range,hours,mean_temp,std_temp
190,11,2018-09-19 14:27:00,41.8925,-67.8661,55.0,7.0,3.175,1458.0,146.0
191,11,2018-09-21 08:52:20,41.5162,-68.7126,141.0,15.0,5.350,644.0,1.0
192,11,2018-09-22 00:40:29,41.5748,-68.5202,115.0,18.0,1.500,771.0,19.0
193,11,2018-09-20 16:09:51,41.4923,-68.4967,94.0,9.0,1.350,745.0,9.0
194,11,2018-09-16 00:22:12,41.8241,-67.9166,46.0,6.0,1.075,1384.0,30.0
195,11,2018-09-19 09:20:16,42.0326,-67.8045,182.0,12.0,4.500,886.0,26.0
196,11,2018-09-22 02:41:33,41.6619,-68.4624,136.0,22.0,1.225,693.0,25.0
197,11,2018-09-21 14:22:41,41.4829,-68.4956,94.0,7.0,1.625,806.0,14.0
198,11,2018-09-22 17:01:21,41.6447,-68.4886,147.0,16.0,0.775,671.0,5.0
199,11,2018-09-17 01:31:26,41.8962,-67.8752,57.0,8.0,3.775,1327.0,156.0
200,20,2018-12-31 13:26:30,43.0227,-69.2602,192.0,31.0,7.450,852.0,2.0
201,20,2018-12-14 11:33:30,43.0081,-69.3353,197.0,33.0,7.175,834.0,2.0
202,20,2018-12-14 19:27:30,43.0223,-69.2337,197.0,32.0,6.825,836.0,2.0
203,20,2018-12-14 03:28:30,43.0126,-69.302,193.0,32.0,6.125,836.0,6.0
204,21,2018-11-19 14:43:08,42.5295,-67.5699,186.0,18.0,1.925,992.0,1.0
205,21,2018-11-19 01:56:06,42.356,-67.6219,214.0,23.0,1.750,883.0,1.0
206,21,2018-11-05 09:30:19,42.6564,-68.8974,118.0,3.0,2.200,836.0,9.0
207,21,2018-11-18 19:41:17,42.273,-67.6212,215.0,0.0,1.750,901.0,2.0
208,21,2018-11-05 15:32:19,42.6345,-68.9778,159.0,18.0,1.975,784.0,6.0
209,21,2018-11-19 20:40:57,42.5687,-67.6477,196.0,21.0,1.925,992.0,12.0
210,21,2018-11-06 01:14:38,42.1722,-69.9112,108.0,14.0,2.525,773.0,2.0
211,21,2018-11-01 23:22:29,42.8194,-68.5049,193.0,14.0,1.800,824.0,1.0
212,21,2018-11-13 02:23:31,42.6309,-68.308,162.0,9.0,1.925,917.0,7.0
213,21,2018-11-01 11:31:50,43.227,-69.3479,113.0,11.0,2.050,902.0,8.0
214,21,2018-11-01 17:30:49,42.8895,-68.8139,189.0,20.0,1.825,811.0,2.0
215,21,2018-11-12 20:16:28,42.6712,-68.1649,170.0,11.0,1.775,921.0,2.0
216,21,2018-12-11 19:33:58,42.7092,-69.2123,143.0,16.0,1.400,836.0,2.0
217,21,2018-12-27 20:31:17,43.1449,-69.6684,96.0,6.0,1.900,780.0,1.0
218,21,2018-12-11 12:38:45,42.5004,-69.1185,199.0,12.0,2.700,860.0,1.0
219,21,2018-12-20 20:09:21,41.9445,-70.487,35.0,2.0,4.100,594.0,5.0
220,21,2018-12-09 20:06:04,40.0424,-70.2487,196.0,26.0,1.800,1341.0,6.0
221,21,2018-12-05 20:06:49,43.1927,-69.3697,108.0,4.0,1.175,900.0,1.0
